118668,Nippon Life India Asset Management Limited,Nippon India Growth Fund,Direct,Growth,Open Ended,Equity Scheme,Mid Cap Fund,118668,Mid Cap Fund,INF204K01E54
118675,Nippon Life India Asset Management Limited,Nippon India Vision Fund,Direct,Growth,Open Ended,Equity Scheme,Large & Mid Cap Fund,118675,Large & Mid Cap Fund,INF204K01E96
118678,Nippon Life India Asset Management Limited,Nippon India Vision Fund,Direct,Growth,Open Ended,Equity Scheme,Large & Mid Cap Fund,118678,Large & Mid Cap Fund,INF204K01F20
118687,Nippon Life India Asset Management Limited,Nippon India Income Fund,Direct,Growth,Open Ended,Debt Scheme,Medium to Long Duration Fund,118687,Medium to Long Duration Fund,INF204K01XS2
118679,Nippon Life India Asset Management Limited,Nippon India Income Fund,Direct,Growth,Open Ended,Debt Scheme,Medium to Long Duration Fund,118679,Medium to Long Duration Fund,INF204K01F38
118883,Taurus Asset Management Company Limited,Taurus Starshare (Multi Cap) Fund,Direct,Growth,Open Ended,Equity Scheme,Multi Cap Fund,118883,Multi Cap Fund,INF044D01BU9
118872,Taurus Asset Management Company Limited,Taurus Discovery (Midcap) Fund,Direct,Growth,Open Ended,Equity Scheme,Mid Cap Fund,118872,Mid Cap Fund,INF044D01CA9
118866,Taurus Asset Management Company Limited,Taurus Tax Shield,Direct,Growth,Open Ended,Equity Scheme,ELSS,118866,ELSS,INF044D01CG6INF044D01AA3
118581,Franklin Templeton Asset Management (India) Private Limited,Franklin India Index Fund- Nifty Plan,Direct,Growth,Open Ended,Other Scheme,Index Funds,118581,Index Funds,INF090I01GS4
118498,Franklin Templeton Asset Management (India) Private Limited,Franklin India Government Securities Fund,Direct,Growth,Open Ended,Debt Scheme,Gilt Fund,118498,Gilt Fund,INF090I01HS2
118494,Franklin Templeton Asset Management (India) Private Limited,Templeton India Value Fund (erstwhile known as Templeton India Growth Fund),Direct,Growth,Open Ended,Equity Scheme,Value Fund,118494,Value Fund,INF090I01GY2
